"id","Length","Invertebrates","Fish","Tetrapods","Region","PurportedSubspecies","Lineage"
67,77,0,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
9,76,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
41,76,1,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
89,75,0,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
27,74,0,1,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
52,74,0,1,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
81,73,1,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
90,72,1,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
19,71,0,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
32,70,0,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
16,69,0,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
61,69,0,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
60,69,0,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
69,67,0,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
53,67,1,1,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
86,65,1,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
43,65,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
23,64,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
83,64,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
20,63,0,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
88,62,0,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
80,62,0,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
55,61,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
10,60,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
70,60,0,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
37,59,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
87,59,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
40,59,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
39,56,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
85,56,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
77,55,0,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
131,55,0,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
30,55,0,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
48,54,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
33,54,0,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
84,53,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
